PO_post_type,PO_number_comments,PO_numbr_likes,Year,Month,PO_hashtag,PO_tag_accounts,PO_description_Emoji,PO_description_Language_Freq,PO_clean_text,PO_Hobby,PO_Skincare_Treatment,PO_Work_Event,PO_Fitness,PO_Lifestyle_Health,PO_Shop_Business_Advertisement,PO_Beauty_Makeup,PO_Travel_Celebrations,PO_Food,PO_Life_Happiness,PO_dominant_topic,PO_neg,PO_neu,PO_pos,PO_compound,PRO_n_posts,PRO_followers,PRO_following,PRO_is_business_account,PRO_hashtag,PRO_tag_accounts,PRO_description_Emoji,PRO_description_Language_Freq,PRO_clean_text,PRO_neg,PRO_neu,PRO_pos,PRO_compound,LOC_aj_exact_city_match,LOC_aj_exact_country_match,LOC_lat,LOC_lng,neu,LOC_cd_Freq,LOC_slug_Freq,points,points_C,y_likes_pred,y_comments_pred
2,34.0,9505.479999999987,2023,4,6.0,1.0,4.0,788.0,16.0,0.01,0.01,0.23,0.01,0.4,0.01,0.15,0.18,0.01,0.01,2,0.0,0.358,0.373,0.9509,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0852425,338.0,9.0
1,34.0,9505.479999999987,2022,12,30.0,1.0,5.0,788.0,45.0,0.01,0.01,0.43,0.01,0.24,0.01,0.15,0.14,0.01,0.01,1,0.0,0.698,0.302,0.9423,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0850275,310.0,6.0
8,34.0,9505.479999999987,2023,3,6.0,1.0,4.0,788.0,16.0,0.01,0.01,0.01,0.01,0.69,0.01,0.23,0.01,0.01,0.01,2,0.0,0.435,0.373,0.9231,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0845475,335.0,6.0
2,34.0,9505.479999999987,2023,4,6.0,1.0,4.0,788.0,15.0,0.01,0.01,0.01,0.01,0.56,0.01,0.17,0.01,0.21,0.01,2,0.0,0.512,0.373,0.8591,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08294750000000001,296.0,6.0
2,34.0,9505.479999999987,2023,3,30.0,1.0,5.0,167.0,45.0,0.01,0.19,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.01,2,0.0,0.656,0.344,0.9517,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0852625,317.0,9.0
1,34.0,9505.479999999987,2023,4,6.0,1.0,4.0,788.0,16.0,0.01,0.01,0.22,0.01,0.39,0.01,0.17,0.18,0.01,0.01,2,0.0,0.533,0.373,0.8591,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08294750000000001,298.0,6.0
1,34.0,9505.479999999987,2023,4,6.0,1.0,4.0,788.0,17.0,0.01,0.01,0.01,0.01,0.61,0.01,0.32,0.01,0.01,0.01,2,0.0,0.504,0.373,0.8689,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0831925,297.0,6.0
2,34.0,9505.479999999987,2023,3,30.0,1.0,5.0,788.0,45.0,0.01,0.19,0.35,0.01,0.32,0.01,0.09,0.01,0.01,0.01,1,0.0,0.755,0.245,0.9118,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.084265,307.0,6.0
2,34.0,9505.479999999987,2023,3,30.0,1.0,5.0,167.0,45.0,0.01,0.01,0.01,0.01,0.6,0.01,0.32,0.01,0.01,0.01,2,0.0,0.738,0.262,0.9169,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08439250000000001,308.0,6.0
1,34.0,9505.479999999987,2022,12,30.0,1.0,4.0,167.0,43.0,0.01,0.12,0.01,0.01,0.52,0.01,0.15,0.17,0.01,0.01,2,0.0,0.786,0.214,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,271.0,6.0
2,34.0,9505.479999999987,2023,3,30.0,1.0,5.0,788.0,45.0,0.01,0.16,0.01,0.01,0.59,0.01,0.2,0.01,0.01,0.01,2,0.0,0.751,0.249,0.9118,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.084265,308.0,6.0
2,34.0,9505.479999999987,2023,4,6.0,1.0,4.0,788.0,16.0,0.01,0.16,0.01,0.01,0.59,0.01,0.2,0.01,0.01,0.01,2,0.0,0.533,0.373,0.8591,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08294750000000001,294.0,6.0
1,34.0,9505.479999999987,2023,4,6.0,1.0,3.0,788.0,15.0,0.01,0.17,0.43,0.01,0.28,0.01,0.09,0.01,0.01,0.01,1,0.0,0.512,0.373,0.8591,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08294750000000001,294.0,6.0
1,34.0,9505.479999999987,2022,12,30.0,1.0,4.0,788.0,43.0,0.01,0.09,0.36,0.01,0.35,0.01,0.16,0.01,0.01,0.01,1,0.0,0.786,0.214,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,266.0,6.0
2,34.0,9505.479999999987,2023,3,30.0,1.0,5.0,167.0,45.0,0.01,0.16,0.26,0.01,0.27,0.2,0.09,0.01,0.01,0.01,2,0.0,0.755,0.245,0.9118,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.084265,306.0,6.0
2,34.0,9505.479999999987,2023,3,30.0,1.0,5.0,788.0,45.0,0.01,0.01,0.26,0.01,0.44,0.01,0.25,0.01,0.01,0.01,2,0.0,0.755,0.245,0.9118,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.084265,307.0,6.0
2,34.0,9505.479999999987,2023,3,30.0,1.0,5.0,167.0,45.0,0.01,0.14,0.23,0.01,0.48,0.01,0.12,0.01,0.01,0.01,2,0.0,0.755,0.245,0.9118,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.084265,307.0,6.0
1,34.0,9505.479999999987,2023,1,30.0,1.0,5.0,788.0,44.0,0.01,0.19,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.01,2,0.0,0.791,0.209,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,270.0,6.0
1,34.0,9505.479999999987,2022,12,30.0,1.0,4.0,788.0,43.0,0.01,0.16,0.01,0.01,0.59,0.01,0.2,0.01,0.01,0.01,2,0.0,0.786,0.214,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,269.0,6.0
2,34.0,9505.479999999987,2023,3,30.0,1.0,4.0,167.0,45.0,0.01,0.12,0.01,0.01,0.52,0.01,0.15,0.17,0.01,0.01,2,0.0,0.718,0.282,0.9382,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08492500000000001,309.0,6.0
1,34.0,9505.479999999987,2023,3,30.0,1.0,5.0,788.0,43.0,0.01,0.01,0.01,0.01,0.42,0.01,0.43,0.01,0.01,0.11,6,0.0,0.786,0.214,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,273.0,6.0
1,34.0,9505.479999999987,2023,1,30.0,1.0,4.0,167.0,43.0,0.02,0.22,0.02,0.02,0.02,0.62,0.02,0.02,0.02,0.02,9,0.0,0.786,0.214,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,267.0,6.0
2,34.0,9505.479999999987,2023,4,6.0,1.0,4.0,788.0,16.0,0.01,0.19,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.01,2,0.0,0.533,0.373,0.8591,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08294750000000001,292.0,6.0
1,34.0,9505.479999999987,2023,3,30.0,1.0,5.0,788.0,43.0,0.01,0.19,0.01,0.01,0.75,0.01,0.01,0.01,0.01,0.01,2,0.0,0.786,0.214,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,270.0,6.0
1,34.0,9505.479999999987,2023,2,30.0,1.0,4.0,788.0,43.0,0.02,0.23,0.02,0.02,0.61,0.02,0.02,0.02,0.02,0.02,2,0.0,0.786,0.214,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,269.0,6.0
2,34.0,9505.479999999987,2023,4,6.0,1.0,3.0,788.0,15.0,0.01,0.16,0.01,0.01,0.59,0.01,0.2,0.01,0.01,0.01,2,0.0,0.422,0.373,0.9136,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08431,333.0,6.0
2,34.0,9505.479999999987,2023,4,6.0,1.0,4.0,788.0,17.0,0.01,0.01,0.52,0.01,0.29,0.01,0.12,0.01,0.01,0.01,1,0.0,0.553,0.373,0.8591,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08294750000000001,286.0,6.0
1,34.0,9505.479999999987,2023,2,30.0,1.0,4.0,788.0,42.0,0.01,0.01,0.29,0.01,0.6,0.01,0.01,0.01,0.01,0.01,2,0.0,0.72,0.28,0.9246,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08458500000000001,308.0,6.0
1,34.0,9505.479999999987,2023,1,30.0,1.0,5.0,167.0,44.0,0.01,0.15,0.44,0.01,0.34,0.01,0.01,0.01,0.01,0.01,1,0.0,0.791,0.209,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,267.0,6.0
2,34.0,9505.479999999987,2023,4,6.0,1.0,4.0,788.0,18.0,0.01,0.19,0.01,0.01,0.44,0.01,0.31,0.01,0.01,0.01,2,0.0,0.522,0.373,0.8442,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08257500000000001,303.0,6.0
1,34.0,9505.479999999987,2022,11,30.0,1.0,4.0,167.0,43.0,0.0,0.0,0.23,0.0,0.05,0.0,0.15,0.55,0.0,0.0,4,0.0,0.786,0.214,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,271.0,7.0
1,34.0,9505.479999999987,2022,12,30.0,1.0,4.0,788.0,43.0,0.02,0.23,0.02,0.02,0.61,0.02,0.02,0.02,0.02,0.02,2,0.0,0.786,0.214,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,268.0,6.0
1,34.0,9505.479999999987,2022,12,30.0,2.0,4.0,167.0,43.0,0.0,0.0,0.15,0.0,0.0,0.0,0.2,0.62,0.0,0.0,4,0.0,0.826,0.167,0.7906,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.081235,277.0,7.0
1,34.0,9505.479999999987,2023,1,30.0,2.0,4.0,788.0,41.0,0.01,0.01,0.3,0.01,0.43,0.01,0.23,0.01,0.01,0.01,2,0.0,0.826,0.174,0.7906,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.081235,281.0,6.0
1,34.0,9505.479999999987,2022,12,30.0,1.0,5.0,788.0,44.0,0.01,0.23,0.01,0.01,0.56,0.01,0.16,0.01,0.01,0.01,2,0.0,0.791,0.209,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,269.0,6.0
1,34.0,9505.479999999987,2023,2,30.0,1.0,5.0,788.0,45.0,0.01,0.24,0.01,0.01,0.49,0.01,0.15,0.01,0.01,0.09,2,0.0,0.756,0.244,0.8979,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0839175,295.0,6.0
1,34.0,9505.479999999987,2023,2,30.0,1.0,4.0,788.0,43.0,0.01,0.11,0.01,0.01,0.51,0.01,0.12,0.21,0.01,0.01,2,0.0,0.786,0.214,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,273.0,6.0
1,32.0,9505.479999999987,2023,2,30.0,1.0,4.0,788.0,44.0,0.01,0.01,0.01,0.01,0.62,0.01,0.28,0.01,0.01,0.01,2,0.0,0.791,0.209,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,272.0,6.0
1,34.0,9505.479999999987,2023,2,30.0,1.0,5.0,167.0,43.0,0.01,0.25,0.01,0.01,0.55,0.01,0.15,0.01,0.01,0.01,2,0.0,0.786,0.214,0.8625,967.0,151925.0,6.0,0,30.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08303250000000001,271.0,6.0
1,34.0,9505.479999999987,2023,3,6.0,1.0,3.0,788.0,17.0,0.01,0.14,0.2,0.01,0.43,0.01,0.12,0.01,0.01,0.09,2,0.0,0.471,0.373,0.91,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08422000000000002,333.0,6.0
1,34.0,9505.479999999987,2023,3,6.0,2.0,4.0,788.0,16.0,0.01,0.01,0.01,0.01,0.42,0.01,0.34,0.01,0.01,0.17,2,0.0,0.533,0.373,0.8591,967.0,151925.0,6.0,0,6.0,1.0,3.0,966.0,6.0,0.0,0.625,0.375,0.4588,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08294750000000001,298.0,6.0
