PO_post_type,PO_URL,PO_number_comments,PO_numbr_likes,PO_description,PO_number_view_count,Year,Month
2,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/334773623_151516907800937_2547967335727607485_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=4-DaH9zwgRYAX-dxVJY&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDzEHi0GdNVWBr2nv2eHPN6T-QRkDjG34ks146UcoCr-A&oe=64656D5E&_nc_sid=f4eaf9,237,100616,"Who wants a golden retriever? 
Tag a friend who needs to see this
🐶Follow @doggodorable for more adorable/cute retriever reels!
❤️Make sure to like and comment
.
🎥DM for credit/removal
.
#cutepuppy #goldenretrieverpuppy #goldendoodle #dogfamily
#labradorpuppy #puppyproblems #dognap #dogsofchicago
#dogsdaily #cutestgoldens #gloriousgoldens
#goldens_ofinstagram #ilovemygolden
#goldenretriever_feature #goldenretrieversofig
#welovegoldens #retrieversofinstagram #goldensofinstagram
#goldenretrieverslovex #goldenpuppies #dogtired #goldie
#puppytime #mylittledog #cutestpuppy #dogsmile
#creamgoldenretriever #goldenretrieveroftheday
#goldenretrieverpup #goldenretrieversofinsta",383317,2023,3
2,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/334684682_1585884691917046_5957846454458561561_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=ZSbNXB5EzoMAX_U5R2N&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDUdJXlhSpKMnsUV7xdy8llIAWLnjD7dpTbkm4KMsIHHA&oe=646537C2&_nc_sid=f4eaf9,846,99251,"Golden retriever getting his daily greens in 🥬 
😍Tag a friend who needs to see this
🐶Follow @doggodorable for more adorable/cute retriever reels!
❤️Make sure to like and comment
.
🎥DM for credit/removal
.
#cutepuppy #goldenretrieverpuppy #goldendoodle #dogfamily
#labradorpuppy #puppyproblems #dognap #dogsofchicago
#dogsdaily #cutestgoldens #gloriousgoldens
#goldens_ofinstagram #ilovemygolden
#goldenretriever_feature #goldenretrieversofig
#welovegoldens #retrieversofinstagram #goldensofinstagram
#goldenretrieverslovex #goldenpuppies #dogtired #goldie
#puppytime #mylittledog #cutestpuppy #dogsmile
#creamgoldenretriever #goldenretrieveroftheday
#goldenretrieverpup #goldenretrieversofinsta",719735,2023,3
2,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/340011957_1171788253533594_7208467347210903372_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=DbcHRCJNw9gAX88ebon&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBBLEaeW3wgT1x-kbS2Bo7CcI4YM21CN0g599sI4oAVGQ&oe=64655A55&_nc_sid=f4eaf9,207,97962,"Best friends ✨ 

✔️ Follow @Doggodorable for more retriever posts!
❤️ Like and share with your friends!
🎥 DM for credit/removal!

#cutepuppy #goldenretrieverpuppy #dogsdaily #goldenretrieversofig #puppytime #goldenretrieversofinsta",271315,2023,4
1,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/318412130_132789219585282_6762821800012911216_n.webp?stp=dst-jpg_e35&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=6oNnvfpoJ9QAX93GMJv&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBVXcGb_jsMkR52CyTP2k1D49GsTtOJYCIl1VEBB1tIdA&oe=646832C1&_nc_sid=f4eaf9,370,94780,"Stairway to heaven 😂
Rate this cuteness 1-10 😍
.
😍 Tag a friend who needs to see this
🐶 Follow @doggodorable for more
❤️ Make sure to like and comment
.
📷 DM for credit/removal
.
#cutepuppy #goldenretrieverpuppy #goldendoodle #dogfamily #labradorpuppy #puppyproblems #dognap #dogsofchicago #dogsdaily #cutestgoldens #gloriousgoldens #goldens_ofinstagram #ilovemygolden #goldenretriever_feature #goldenretrieversofig #welovegoldens #retrieversofinstagram #goldensofinstagram #goldenretrieverslovex #goldenpuppies #dogtired #goldie #puppytime #mylittledog #cutestpuppy #dogsmile #creamgoldenretriever #goldenretrieveroftheday #goldenretrieverpup #goldenretrieversofinsta",0,2022,12
8,,175,92735,"Which is the cutest photo? 1,2, or 3… or all 🥰 

✔️ Follow @Doggodorable for more retriever posts!
❤️ Like and share with your friends!
🎥 DM for credit/removal!

#cutepuppy #goldenretrieverpuppy #dogsdaily #goldenretrieversofig #puppytime #goldenretrieversofinsta",0,2023,3
2,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/340674895_261759749513323_6647051800462432498_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=uDL9q8Cw-FoAX9QTj7S&edm=APU89FABAAAA&ccb=7-5&oh=00_AfD6b118bika-mQl_Caec2OhNRzvb64OWv05PWxHy7z8GQ&oe=6465094D&_nc_sid=f4eaf9,118,91693,"His mouth 😂 

✔️ Follow @Doggodorable for more retriever posts!
❤️ Like and share with your friends!
🎥 DM for credit/removal!

#cutepuppy #goldenretrieverpuppy #dogsdaily #goldenretrieversofig #puppytime #goldenretrieversofinsta",508985,2023,4
2,https://instagram.fsin14-2.fna.fbcdn.net/v/t51.2885-15/335955364_236492065602259_1074539167039055983_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-2.fna.fbcdn.net&_nc_cat=107&_nc_ohc=bZ7Lkyp1858AX99rz6w&edm=APU89FABAAAA&ccb=7-5&oh=00_AfA8nNQBruZSYKzAfCDAJdN7JyguGG3HDeNZqcxfwuLs5Q&oe=64650E50&_nc_sid=f4eaf9,164,74332,"The 3 best friends 🥰 
😍Tag a friend who needs to see this
🐶Follow @doggodorable for more adorable/cute retriever reels!
❤️Make sure to like and comment
🎥DM for credit/removal
.
#cutepuppy #goldenretrieverpuppy #goldendoodle #dogfamily
#labradorpuppy #puppyproblems #dognap #dogsofchicago
#dogsdaily #cutestgoldens #gloriousgoldens
#goldens_ofinstagram #ilovemygolden
#goldenretriever_feature #goldenretrieversofig
#welovegoldens #retrieversofinstagram #goldensofinstagram
#goldenretrieverslovex #goldenpuppies #dogtired #goldie
#puppytime #mylittledog #cutestpuppy #dogsmile
#creamgoldenretriever #goldenretrieveroftheday
#goldenretrieverpup #goldenretrieversofinsta",218833,2023,3
1,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/339501777_1031489597826121_7259568899514319603_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=6CIafz6DgHwAX_vybJK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAuhaeT8VKmaGW-IUBug_r5EzHoq13JoxHMEsEOIDd7mw&oe=646977DB&_nc_sid=f4eaf9,64,63385,"Where’s dinner? 🍽 

✔️ Follow @Doggodorable for more retriever posts!
❤️ Like and share with your friends!
🎥 DM for credit/removal!

#cutepuppy #goldenretrieverpuppy #dogsdaily #goldenretrieversofig #puppytime #goldenretrieversofinsta",0,2023,4
1,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/343072516_1959776614397397_7661805039520068099_n.jpg?stp=dst-jpg_e35_p1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=eGREqKUeruwAX_9ooN8&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAeSBMquO2D-3ZAGNoaY9R5PLs0ag1DinVBEluKUdpqzA&oe=6467B5F8&_nc_sid=f4eaf9,122,61786,"Who wants a golden retriever? 🥰 

✔️ Follow @Doggodorable for more retriever posts!
❤️ Like and share with your friends!
🎥 DM for credit/removal!

#cutepuppy #goldenretrieverpuppy #dogsdaily #goldenretrieversofig #puppytime #goldenretrieversofinsta",0,2023,4
2,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/331137957_588479933340505_1309147887921541862_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=kMdl2L9n6DcAX8SAX3r&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAceBa-DEYHC_DWJMQnLsormPOVVUrc6YZzGhTlDYr2Ew&oe=64657213&_nc_sid=f4eaf9,175,57046,"Rate this cutie 1-10 🥰 
😍Tag a friend who needs to see this
🐶Follow @doggodorable for more adorable/cute retriever reels!
❤️Make sure to like and comment
.
🎥DM for credit/removal
.
#cutepuppy #goldenretrieverpuppy #goldendoodle #dogfamily
#labradorpuppy #puppyproblems #dognap #dogsofchicago
#dogsdaily #cutestgoldens #gloriousgoldens
#goldens_ofinstagram #ilovemygolden
#goldenretriever_feature #goldenretrieversofig
#welovegoldens #retrieversofinstagram #goldensofinstagram
#goldenretrieverslovex #goldenpuppies #dogtired #goldie
#puppytime #mylittledog #cutestpuppy #dogsmile
#creamgoldenretriever #goldenretrieveroftheday
#goldenretrieverpup #goldenretrieversofinsta",210003,2023,3
