PO_post_type,PO_number_comments,PO_numbr_likes,Year,Month,PO_hashtag,PO_tag_accounts,PO_description_Emoji,PO_description_Language_Freq,PO_clean_text,PO_Hobby,PO_Skincare_Treatment,PO_Work_Event,PO_Fitness,PO_Lifestyle_Health,PO_Shop_Business_Advertisement,PO_Beauty_Makeup,PO_Travel_Celebrations,PO_Food,PO_Life_Happiness,PO_dominant_topic,PO_neg,PO_neu,PO_pos,PO_compound,PRO_n_posts,PRO_followers,PRO_following,PRO_is_business_account,PRO_hashtag,PRO_tag_accounts,PRO_description_Emoji,PRO_description_Language_Freq,PRO_clean_text,PRO_neg,PRO_neu,PRO_pos,PRO_compound,LOC_aj_exact_city_match,LOC_aj_exact_country_match,LOC_lat,LOC_lng,neu,LOC_cd_Freq,LOC_slug_Freq,points,points_C,y_likes_pred,y_comments_pred
2,16.0,831.9839999999999,2020,6,3.0,0.0,1.0,1124.0,18.0,0.01,0.01,0.01,0.63,0.01,0.01,0.01,0.01,0.01,0.32,3,0.0,0.762,0.238,0.6124,1133.0,189844.0,73.0,0,3.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.32493,364.0,14.0
1,16.0,831.9839999999999,2021,10,0.0,0.0,1.0,1124.0,9.0,0.02,0.02,0.47,0.02,0.4,0.02,0.02,0.02,0.02,0.02,1,0.0,0.551,0.34832799999999997,0.6908,1133.0,189844.0,73.0,0,0.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33277,374.0,13.0
2,16.0,831.9839999999999,2023,4,2.0,0.0,2.0,1124.0,10.0,0.1,0.01,0.17,0.01,0.01,0.01,0.01,0.01,0.01,0.66,8,0.0,0.783,0.217,0.3612,1133.0,189844.0,73.0,0,2.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.29981,371.0,8.0
2,11.0,831.9839999999999,2022,10,1.0,0.0,1.0,1124.0,5.0,0.0,0.0,0.0,0.66,0.17,0.14,0.0,0.0,0.0,0.0,3,0.0,1.0,0.0,0.0,1133.0,189844.0,73.0,0,1.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.26369,368.0,13.0
2,16.0,831.9839999999999,2020,7,0.0,1.0,3.0,1124.0,43.0,0.01,0.01,0.37,0.57,0.01,0.01,0.01,0.01,0.01,0.01,3,0.0,0.96,0.04,0.296,1133.0,189844.0,73.0,0,0.0,1.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.29329,363.0,8.0
1,16.0,831.9839999999999,2021,2,2.0,0.0,1.0,1124.0,9.0,0.0,0.0,0.11,0.68,0.0,0.19,0.0,0.0,0.0,0.0,3,0.0,0.734,0.266,0.4404,1133.0,189844.0,73.0,0,2.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.30773000000000006,370.0,13.0
2,16.0,831.9839999999999,2020,3,1.0,0.0,2.0,1124.0,26.0,0.01,0.01,0.07,0.89,0.01,0.01,0.01,0.01,0.01,0.01,3,0.0,0.575,0.34832799999999997,0.875,1133.0,189844.0,73.0,0,1.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.35119,362.0,14.0
8,16.0,831.9839999999999,2021,8,2.0,0.0,3.0,1124.0,16.0,0.08,0.0,0.19,0.66,0.06,0.0,0.0,0.0,0.0,0.0,3,0.0,1.0,0.0,0.0,1133.0,189844.0,73.0,0,2.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.26369,363.0,13.0
2,16.0,831.9839999999999,2018,10,0.0,0.0,3.0,1124.0,19.0,0.0,0.0,0.76,0.0,0.0,0.22,0.0,0.0,0.0,0.0,1,0.0,0.736,0.264,0.7269,1133.0,189844.0,73.0,0,0.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.33638,370.0,13.0
2,16.0,831.9839999999999,2022,8,1.0,0.0,1.0,1124.0,10.0,0.0,0.0,0.51,0.0,0.08,0.15,0.0,0.22,0.03,0.0,1,0.0,0.756,0.244,0.4404,1133.0,189844.0,73.0,0,1.0,0.0,2.0,1132.0,4.0,0.0,0.417,0.583,0.6369,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.30773000000000006,369.0,13.0
