,PO_dominant_topic,PO_tag_accounts,Impressions
4804,Hobby,@fentybeauty,28.714076960545544
4805,Hobby,@narsissist,28.714076960545544
4806,Hobby,@lauramercier,28.714076960545544
4807,Hobby,@maccosmeticsuk,28.714076960545544
4808,Hobby,@kevynaucoin,28.714076960545544
4809,Hobby,@milanicosmetics,28.714076960545544
4810,Hobby,@anastasiabeverlyhills,28.714076960545544
4811,Hobby,@urbandecaycosmetics,28.714076960545544
4812,Hobby,@maccosmetics,28.714076960545544
4813,Hobby,@marcjacobsbeauty,28.714076960545544
4849,Hobby,@stillbusby,0.42272524112464965
4850,Hobby,@Superstarangels,4.416403785488959
4917,Hobby,@liketoknow,1.2393966972579042
4936,Hobby,@tovahavigail,1.3206060886891247
4937,Hobby,@thetonyawards,1.3206060886891247
4938,Hobby,@2stnyc,1.3206060886891247
4939,Hobby,@springbway,1.3206060886891247
4978,Hobby,@laurance_roman,1.272805674096323
5103,Hobby,@lattacheparis,1.1021307861866274
5104,Hobby,@juliegovaert,1.1021307861866274
5105,Hobby,@xamounts,1.1021307861866274
5106,Hobby,@alexandrabusgang,1.1021307861866274
5161,Hobby,@kinielena,23.226544622425628
5162,Hobby,@epicHybrid,0.16854621230693798
5163,Hobby,@michaelcannet,0.049825221652023355
5310,Hobby,@chelsea3po,9.778142974527526
5463,Hobby,@realjoeyfatone,2.7978549778503146
5464,Hobby,@mulcahyspub,2.7978549778503146
5589,Hobby,@isyuanitadl,0.2840332724690607
5590,Hobby,@silverproject,0.2840332724690607
5591,Hobby,@dgorganizer,0.2840332724690607
5592,Hobby,@goldenflower_decoration,0.2840332724690607
5593,Hobby,@sirikitcatering,0.2840332724690607
5594,Hobby,@sanggar,0.2840332724690607
5595,Hobby,@moesnewark,1.9543973941368078
5606,Hobby,@yeahfoodbeer,1.157143941118446
5607,Hobby,@NY_PaoDeQueijo,1.157143941118446
5608,Hobby,@goldenflower_decoration,0.9332521809697707
5609,Hobby,@dgorganizer,0.9332521809697707
5610,Hobby,@silverproject,0.9332521809697707
5611,Hobby,@sanggar,0.9332521809697707
