,PO_dominant_topic,PO_tag_accounts,Impressions
2455,Fitness,@benefitcosmetics,5.42469664525339
2456,Fitness,@jamescharles,5.42469664525339
2457,Fitness,@toofaced,5.42469664525339
2458,Fitness,@toofaced,5.42469664525339
2459,Fitness,@eylureofficial,5.42469664525339
2491,Fitness,@rizsushi,10.037174721189592
2492,Fitness,@loves,3.6745922578109647
2493,Fitness,@hiphopdx,1.5805614531729182
2564,Fitness,@luphitapinoys,0.7330119527174271
2565,Fitness,@mraquelrangel,16.158536585365855
2622,Fitness,@organic_pharmer_ny,1.2533572068039391
2629,Fitness,@blackbox_ind,4.654377880184332
2834,Fitness,@sannikovdk,1.0069964326489655
2835,Fitness,@hobbycenter_official,1.0069964326489655
2836,Fitness,@sannikovdk,1.0069964326489655
2919,Fitness,@fotokeling,0.7056702908972368
2920,Fitness,@taylorr,4.7879616963064295
2950,Fitness,@vr46ridersacademyofficial,0.7116289020421798
2951,Fitness,@skyracingteamvr46,0.7116289020421798
2989,Fitness,@Laurel_Robbins,0.044596475752952405
3004,Fitness,@_soggynacho,4.253103690566389
3027,Fitness,@bridportcycles,12.903225806451612
3028,Fitness,@meridabicyclesuk,12.903225806451612
3029,Fitness,@djhassel18,11.5736885928393
3068,Fitness,@courthousechesh,1.2096774193548387
3069,Fitness,@iapwacharity,1.2096774193548387
3070,Fitness,@manchestercheshiredogshome,1.2096774193548387
3071,Fitness,@the_twilight_bark_ball,1.2096774193548387
3174,Fitness,@stella_inthecity,8.321479374110954
3422,Fitness,@courmayeurmontblanc,1.2116707200023094
3473,Fitness,@sidneyandbetty,3.2004555808656034
3485,Fitness,@crazypmusic,3.4055727554179565
3486,Fitness,@costco,3.5168195718654434
3555,Fitness,@jackrabbitsashbourne,2.026286966046002
3556,Fitness,@joe_thedancingbarista,2.026286966046002
3567,Fitness,@hypha_chester,2.1239325596671774
3568,Fitness,@sanremouk,2.1239325596671774
3580,Fitness,@lauedconsultant,3.4050179211469533
3581,Fitness,@anaisabelmiami,3.4050179211469533
3582,Fitness,@anaurealtor,3.4050179211469533
3583,Fitness,@angelasantamariamiamibeach,3.4050179211469533
3584,Fitness,@nickbetancourt,3.4050179211469533
