PO_post_type,PO_number_comments,PO_numbr_likes,Year,Month,PO_hashtag,PO_tag_accounts,PO_description_Emoji,PO_description_Language_Freq,PO_clean_text,PO_Hobby,PO_Skincare_Treatment,PO_Work_Event,PO_Fitness,PO_Lifestyle_Health,PO_Shop_Business_Advertisement,PO_Beauty_Makeup,PO_Travel_Celebrations,PO_Food,PO_Life_Happiness,PO_dominant_topic,PO_neg,PO_neu,PO_pos,PO_compound,PRO_n_posts,PRO_followers,PRO_following,PRO_is_business_account,PRO_hashtag,PRO_tag_accounts,PRO_description_Emoji,PRO_description_Language_Freq,PRO_clean_text,PRO_neg,PRO_neu,PRO_pos,PRO_compound,LOC_aj_exact_city_match,LOC_aj_exact_country_match,LOC_lat,LOC_lng,neu,LOC_cd_Freq,LOC_slug_Freq,points,points_C,y_likes_pred,y_comments_pred
1,0.0,0.0,2023,4,0.0,0.0,1.0,4.0,4.664,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,8,0.0,0.33165,0.65152,0.6486120000000001,4.0,0.0,1.0,0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,24.0,1.0
1,0.0,0.0,2023,4,0.0,0.0,1.0,4.0,2.03,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,5,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,17.0,1.0
1,0.0,0.0,2023,4,0.0,0.0,1.0,4.0,3.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.77,8,0.0,0.385,0.615,0.4939,4.0,0.0,1.0,0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,19.0,1.0
1,0.0,0.0,2023,4,0.0,0.0,1.0,4.0,4.0,0.03,0.03,0.7,0.03,0.03,0.03,0.03,0.03,0.03,0.03,1,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0,0.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,20.0,1.0
