PO_post_type,PO_URL,PO_number_comments,PO_numbr_likes,PO_description,PO_number_view_count,Year,Month
1,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/339473397_942153596972402_4295597399178785258_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=VbOX3El_9YcAX_h1D8r&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAKe9alo8BktCaUjA7Q10NkyP7I8hkuJWNO6JV8YOCNPw&oe=645B991A&_nc_sid=86f79a,0,0,"nemo @ Perhentian Malaysia
good memory with my friends @ GF",0,2023,4
1,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/339510854_588169843248250_8716470236879569240_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=bROwPM7ObHkAX_csyZK&edm=APU89FABAAAA&ccb=7-5&oh=00_AfBGH-DPojkLdGZ7KpG9G6NA1neHGmUsybdNEGcFKXrOyg&oe=645BBCCE&_nc_sid=86f79a,0,0,BINTAN @ 2019 with children,0,2023,4
1,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/339309324_805711144598674_883707518346031743_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Q6bYeHWFfkUAX9uIa0u&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDVgpr3amO5bMK__5oNSMxR1_SIC-sQtTWTwFxk8N2jqQ&oe=645C0766&_nc_sid=86f79a,0,0,Night spent with friend of GF,0,2023,4
1,https://instagram.fsin14-1.fna.fbcdn.net/v/t51.2885-15/339375282_594564819263837_1119422597408722489_n.jpg?stp=dst-jpg_e35_s1080x1080&_nc_ht=instagram.fsin14-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=jeGVf49GiPwAX_YQxKF&edm=APU89FABAAAA&ccb=7-5&oh=00_AfDiXc3ukZWSqZsu1A15YV-I-EvMTJZ6yQlK7KOFJgWGGw&oe=645C6A6B&_nc_sid=86f79a,0,0,"how time flies, y2019 @ Bintan Indonisia",0,2023,4
